,Sampling_start_date,State,County,detection_status_SARSCoV2,sars.cov.2_cocentration_copy_per_ml*,pmmov_concentration**,new_cases***,cumulative_cases***,county_population,wwtp_flow_MGD****,wwtp_flow_mL,Estimated_population_served,Sampling_location_ID
55,4/28/20,MT,Park,not detected,NA,1088726.445,0,7,16606,0.689,2608148868,7800,cd8dcb352c692bc72b3af322dd6c5cc118d27a47
56,4/19/20,MT,Park,not detected,NA,2140554.413,0,7,16606,0.595,2252320140,7800,cd8dcb352c692bc72b3af322dd6c5cc118d27a47
57,4/15/20,KY,Jefferson,not detected,NA,3490497.024,9,582,766757,4.136,15656464032,26379,8cee5ed4b95843550e1dd4e6812be6a38e743a41
58,4/15/20,KY,Jefferson,quantifiable,196.2270686,5480217.208,9,582,766757,135.82,5.14E+11,423913,7fcaeeba14bdf423c1f239087e2522f2cfd2c5e7
59,4/29/20,KY,Jefferson,quantifiable,70.28791685,unmeasured,57,1281,766757,62.1,2.35E+11,210206,a3c250a0a4b6da3e32e68736cacf1ade79122b69
60,4/22/20,KY,Jefferson,not detected,NA,61048.46831,29,954,766757,3.547,13426856364,26379,8cee5ed4b95843550e1dd4e6812be6a38e743a41
61,4/8/20,KY,Jefferson,quantifiable,15.66058258,5698532.397,76,478,766757,38.71,1.47E+11,210206,a3c250a0a4b6da3e32e68736cacf1ade79122b69
62,4/15/20,KY,Jefferson,quantifiable,68.3238861,9874799.174,9,582,766757,84.92,3.21E+11,210206,a3c250a0a4b6da3e32e68736cacf1ade79122b69
63,4/22/20,KY,Jefferson,not detected,NA,372230.7712,29,954,766757,45.026,1.70E+11,210206,a3c250a0a4b6da3e32e68736cacf1ade79122b69
64,4/29/20,KY,Jefferson,quantifiable,35.45742975,unmeasured,57,1281,766757,116.8517,4.42E+11,423913,7fcaeeba14bdf423c1f239087e2522f2cfd2c5e7
65,4/8/20,KY,Jefferson,quantifiable,65.49285723,9228540.483,76,478,766757,60.95,2.31E+11,423913,7fcaeeba14bdf423c1f239087e2522f2cfd2c5e7
66,4/8/20,KY,Jefferson,quantifiable,23.19248082,6362371.465,76,478,766757,3.056,11568219072,26379,8cee5ed4b95843550e1dd4e6812be6a38e743a41
67,4/22/20,KY,Jefferson,quantifiable,274.5285777,2878321.303,29,954,766757,68.48,2.59E+11,423913,7fcaeeba14bdf423c1f239087e2522f2cfd2c5e7
68,4/29/20,KY,Jefferson,quantifiable,47.08932338,unmeasured,57,1281,766757,3.712,14051449344,26379,8cee5ed4b95843550e1dd4e6812be6a38e743a41
69,3/25/20,NJ,Essex,quantifiable,867.4936368,unmeasured,39,381,798975,239,9.05E+11,1500000,73449433d5389e23e832a79a31d877a974dcbec2
70,4/14/20,CA,Alameda,not detected,NA,1591890.797,0,884,1671329,6,22712472000,90000,e2a29c283b566d8c787d84858b2d5572f28fd6f5
71,4/7/20,CA,Alameda,not detected,NA,1998095.64,46,634,1671329,6,22712472000,90000,e2a29c283b566d8c787d84858b2d5572f28fd6f5
72,4/20/20,CA,Alameda,not detected,NA,2389913.993,27,1191,1671329,6,22712472000,90000,e2a29c283b566d8c787d84858b2d5572f28fd6f5
73,4/20/20,CA,Alameda,not detected,NA,2032795.881,27,1191,1671329,10,37854120000,130000,0bb3af94733168fc1542e207dac690ead5d0ebba
74,4/7/20,CA,Alameda,not detected,NA,1358689.665,46,634,1671329,10,37854120000,130000,0bb3af94733168fc1542e207dac690ead5d0ebba
75,4/7/20,CA,Alameda,not detected,NA,1006958.963,46,634,1671329,34,1.29E+11,465000,b9ecf21963b61aa79caad79b7c697a82904141f4
76,4/27/20,CA,Alameda,not detected,NA,unmeasured,30,1498,1671329,10,37854120000,130000,0bb3af94733168fc1542e207dac690ead5d0ebba
