lon,lat,value,value_whole,shapeName,EVP,unvac,cum_per,cum_prop
31.2162498903,-24.81124969893,13380.0,115460.9,Ehlanzeni,87.90843492900001,1618.0,49.354965,49.4
27.7662499041,-25.386249696630003,13302.0,137132.8,Bojanala,90.34422698700001,1284.0,49.58855,49.6
31.024583224399997,-23.85291636943,13110.0,114960.72,Mopani,89.892208224,1325.0,49.818768,49.8
29.491249897199996,-31.327916339530002,12896.0,98828.164,O.R.Tambo,85.58057585700001,1860.0,50.045227,50.0
28.916249899500002,-25.194583030729998,12429.0,117202.56,Nkangala,86.47099272,1682.0,50.26348,50.3
31.791249888,-28.64458301693,12014.0,121071.62,Uthungulu,90.292884192,1166.0,50.474453,50.5
31.982916553899997,-28.261249685129997,11829.0,92888.12,Umkhanyakude,92.176661808,925.0,50.682175,50.7
30.4495832267,-22.70291637403,11703.0,102631.39,Vhembe,89.95585158,1175.0,50.887688,50.9
28.7245832336,-25.386249696630003,11598.0,112711.26,Nkangala,86.47099272,1569.0,51.09135,51.1
31.024583224399997,-24.81124969893,11572.0,100055.65,Ehlanzeni,87.90843492900001,1399.0,51.29456,51.3
30.066249894899997,-23.08624970583,11402.0,102225.984,Vhembe,89.95585158,1145.0,51.49478,51.5
31.599583222099998,-25.57791636253,11047.0,99176.71,Ehlanzeni,87.90843492900001,1336.0,51.688774,51.7
30.066249894899997,-24.427916367130003,11026.0,94221.625,Sekhukhune,89.77737371399999,1127.0,51.882393,51.9
28.1495832359,-25.386249696630003,10989.0,133981.33,City of Tshwane,94.463777835,608.0,52.075363,52.1
27.5745832382,-25.57791636253,10896.0,112453.445,Bojanala,90.34422698700001,1052.0,52.2667,52.3
30.2579165608,-30.75291634183,10880.0,117217.484,Ugu,96.068357532,428.0,52.457756,52.5
28.916249899500002,-26.536249692029998,10771.0,119332.22,Gert Sibande,95.90927831100001,441.0,52.6469,52.6
26.6162499087,-26.91958302383,10628.0,114160.52,Dr Kenneth Kaunda,92.072503782,843.0,52.833527,52.8
31.2162498903,-29.027916348730002,10559.0,93940.32,Uthungulu,90.292884192,1025.0,53.018944,53.0
29.682916563099997,-30.75291634183,10544.0,77711.875,Alfred Nzo,94.368393126,594.0,53.20411,53.2
30.066249894899997,-29.60291634643,10355.0,122260.97,Umgungundlovu,94.460073687,574.0,53.385944,53.4
18.7579166068,-33.81958299623,10257.0,134777.81,City of Cape Town,94.711758939,542.0,53.566055,53.6
25.2745832474,-33.81958299623,10217.0,122339.87,Nelson Mandela Bay,91.50704923500001,868.0,53.745472,53.7
26.8079165746,-27.87791635333,10163.0,111434.836,Lejweleputswa,96.61212678599999,344.0,53.923943,53.9
27.382916572299997,-32.861249666730004,9998.0,110945.195,Buffalo City,93.18359855700001,682.0,54.099506,54.1
26.6162499087,-27.87791635333,9893.0,108469.15,Lejweleputswa,96.61212678599999,335.0,54.27323,54.3
19.3329166045,-33.62791633033,9559.0,109593.836,Cape Winelands,92.786964732,689.0,54.44109,54.4
26.999583240499994,-26.536249692029998,9535.0,115651.29,Dr Kenneth Kaunda,92.072503782,756.0,54.60853,54.6
31.4079165562,-25.57791636253,9472.0,85035.52,Ehlanzeni,87.90843492900001,1145.0,54.774864,54.8
30.641249892599998,-22.89458303993,9320.0,82381.95,Vhembe,89.95585158,936.0,54.938526,54.9
29.874583229,-28.452916351029998,9262.0,84005.375,Uthukela,90.954524934,838.0,55.10117,55.1
18.374583275,-33.62791633033,9260.0,107140.42,City of Cape Town,94.711758939,490.0,55.263775,55.3
30.2579165608,-30.56124967593,9180.0,95436.63,Ugu,96.068357532,361.0,55.424976,55.4
29.682916563099997,-28.452916351029998,9129.0,84849.03,Uthukela,90.954524934,826.0,55.58529,55.6
29.682916563099997,-24.81124969893,9117.0,73980.984,Sekhukhune,89.77737371399999,932.0,55.745388,55.7
29.874583229,-24.61958303303,9109.0,73655.43,Sekhukhune,89.77737371399999,931.0,55.905342,55.9
29.682916563099997,-24.61958303303,9030.0,73005.664,Sekhukhune,89.77737371399999,923.0,56.063915,56.1
29.491249897199996,-24.236249701229998,8983.0,76125.336,Capricorn,84.429308124,1399.0,56.221657,56.2
23.357916588400002,-27.302916355630003,8877.0,84751.555,John Taolo Gaetsewe,98.125839,166.0,56.37754,56.4
29.874583229,-30.75291634183,8846.0,66136.78,Ugu,96.068357532,348.0,56.53288,56.5
27.5745832382,-25.96124969433,8840.0,108384.86,West Rand,94.90058883900001,451.0,56.68811,56.7
30.641249892599998,-26.91958302383,8827.0,78981.945,Gert Sibande,95.90927831100001,361.0,56.84312,56.8
30.641249892599998,-30.17791634413,8774.0,101362.86,Ugu,96.068357532,345.0,56.997192,57.0
18.374583275,-33.43624966443,8738.0,101160.47,West Coast,94.30236093600001,498.0,57.15063,57.2
30.641249892599998,-28.069583019230002,8682.0,67204.44,Zululand,92.734361181,631.0,57.303093,57.3
31.599583222099998,-27.87791635333,8560.0,63084.277,Zululand,92.734361181,622.0,57.45341,57.5
27.957916570000002,-25.194583030729998,8554.0,81970.53,Bojanala,90.34422698700001,826.0,57.603622,57.6
29.491249897199996,-30.94458300773,8529.0,64655.473,O.R.Tambo,85.58057585700001,1230.0,57.75339,57.8
30.641249892599998,-27.87791635333,8529.0,75210.41,Zululand,92.734361181,620.0,57.903164,57.9
29.107916565399997,-26.91958302383,8480.0,93234.445,Gert Sibande,95.90927831100001,347.0,58.052074,58.1
30.2579165608,-24.427916367130003,8479.0,72457.6,Sekhukhune,89.77737371399999,867.0,58.200974,58.2
28.916249899500002,-26.344583026130003,8463.0,93758.9,Gert Sibande,95.90927831100001,346.0,58.349586,58.3
27.382916572299997,-25.57791636253,8454.0,90319.516,Bojanala,90.34422698700001,816.0,58.498035,58.5
30.2579165608,-23.66124970353,8407.0,77018.39,Mopani,89.892208224,850.0,58.64567,58.6
30.641249892599998,-23.277916371729997,8376.0,71314.14,Mopani,89.892208224,847.0,58.79275,58.8
30.8329165585,-25.386249696630003,8344.0,83847.46,Ehlanzeni,87.90843492900001,1009.0,58.939278,58.9
29.874583229,-26.344583026130003,8291.0,84765.625,Gert Sibande,95.90927831100001,339.0,59.08487,59.1
30.066249894899997,-30.75291634183,8189.0,73997.6,Ugu,96.068357532,322.0,59.228672,59.2
26.6162499087,-26.72791635793,8157.0,87393.445,Dr Kenneth Kaunda,92.072503782,647.0,59.371914,59.4
31.4079165562,-28.83624968283,8068.0,68066.13,Uthungulu,90.292884192,783.0,59.513588,59.5
29.874583229,-22.319583042229997,8061.0,70805.6,Vhembe,89.95585158,810.0,59.655144,59.7
31.4079165562,-29.027916348730002,8031.0,70627.48,iLembe,75.408364836,1975.0,59.796173,59.8
29.299583231299998,-24.236249701229998,7979.0,67781.25,Capricorn,84.429308124,1242.0,59.936287,59.9
26.8079165746,-31.90291633723,7962.0,84013.38,Chris Hani,95.019458247,397.0,60.0761,60.1
30.2579165608,-23.08624970583,7962.0,71141.96,Vhembe,89.95585158,800.0,60.215916,60.2
30.2579165608,-23.46958303763,7925.0,70628.914,Mopani,89.892208224,801.0,60.35508,60.4
29.107916565399997,-25.194583030729998,7917.0,66993.88,Sekhukhune,89.77737371399999,809.0,60.494106,60.5
30.4495832267,-30.36958301003,7889.0,69512.77,Ugu,96.068357532,310.0,60.63264,60.6
31.2162498903,-24.61958303303,7866.0,67882.69,Ehlanzeni,87.90843492900001,951.0,60.770767,60.8
28.7245832336,-30.17791634413,7856.0,69905.48,Alfred Nzo,94.368393126,442.0,60.908722,60.9
31.4079165562,-27.302916355630003,7704.0,61597.953,Zululand,92.734361181,560.0,61.044006,61.0
27.382916572299997,-26.344583026130003,7686.0,91383.625,West Rand,94.90058883900001,392.0,61.178978,61.2
29.491249897199996,-25.00291636483,7588.0,64206.855,Sekhukhune,89.77737371399999,776.0,61.31222,61.3
30.066249894899997,-28.452916351029998,7536.0,53362.535,Uthukela,90.954524934,682.0,61.444557,61.4
28.1495832359,-28.069583019230002,7441.0,79367.77,Thabo Mofutsanyane,95.78038554,314.0,61.57523,61.6
30.066249894899997,-24.61958303303,7427.0,63306.254,Sekhukhune,89.77737371399999,759.0,61.70565,61.7
28.532916567699996,-25.386249696630003,7420.0,72352.61,City of Tshwane,94.463777835,411.0,61.835945,61.8
28.7245832336,-25.194583030729998,7354.0,71377.13,City of Tshwane,94.463777835,407.0,61.965084,62.0
26.6162499087,-27.68624968743,7342.0,80504.11,Lejweleputswa,96.61212678599999,249.0,62.09401,62.1
30.8329165585,-29.41124968053,7323.0,63154.855,Umgungundlovu,94.460073687,406.0,62.222607,62.2
31.024583224399997,-24.427916367130003,7316.0,63150.395,Mopani,89.892208224,739.0,62.351078,62.4
30.4495832267,-29.79458301233,7296.0,84863.11,Umgungundlovu,94.460073687,404.0,62.4792,62.5
30.2579165608,-23.277916371729997,7261.0,63666.02,Vhembe,89.95585158,729.0,62.606705,62.6
29.874583229,-30.56124967593,7230.0,55696.227,Ugu,96.068357532,284.0,62.73366,62.7
31.2162498903,-25.386249696630003,7205.0,72056.89,Ehlanzeni,87.90843492900001,871.0,62.860184,62.9
26.999583240499994,-25.386249696630003,7170.0,79294.94,Bojanala,90.34422698700001,692.0,62.986095,63.0
29.299583231299998,-26.344583026130003,7169.0,79420.98,Gert Sibande,95.90927831100001,293.0,63.111984,63.1
29.299583231299998,-31.136249673630005,7093.0,54271.234,Alfred Nzo,94.368393126,399.0,63.23654,63.2
28.532916567699996,-25.96124969433,7080.0,75946.38,City of Tshwane,94.463777835,392.0,63.36087,63.4
27.957916570000002,-26.536249692029998,6994.0,89621.68,Sedibeng,91.91230775999999,566.0,63.483685,63.5
28.916249899500002,-31.51958300543,6872.0,56531.035,O.R.Tambo,85.58057585700001,991.0,63.604362,63.6
22.0162499271,-34.01124966213,6833.0,93818.7,Eden,93.251039427,461.0,63.72435,63.7
30.2579165608,-28.64458301693,6792.0,48475.1,Umzinyathi,94.613038821,366.0,63.84362,63.8
32.1745832198,-28.069583019230002,6787.0,53033.637,Umkhanyakude,92.176661808,531.0,63.9628,64.0
30.641249892599998,-25.96124969433,6755.0,60398.42,Gert Sibande,95.90927831100001,276.0,64.08142,64.1
30.641249892599998,-22.70291637403,6695.0,59161.047,Vhembe,89.95585158,672.0,64.19899,64.2
27.191249906399996,-25.386249696630003,6571.0,72712.48,Bojanala,90.34422698700001,634.0,64.31438,64.3
29.682916563099997,-29.027916348730002,6552.0,57274.527,Uthukela,90.954524934,593.0,64.429436,64.4
30.066249894899997,-29.41124968053,6509.0,85768.55,Umgungundlovu,94.460073687,361.0,64.54373,64.5
30.066249894899997,-30.94458300773,6494.0,57582.555,Alfred Nzo,94.368393126,366.0,64.65777,64.7
26.6162499087,-29.027916348730002,6487.0,73265.72,Mangaung,96.171250203,248.0,64.77168,64.8
28.1495832359,-32.28624966903,6458.0,62628.496,Amathole,95.065689096,319.0,64.885086,64.9
30.066249894899997,-22.89458303993,6439.0,57480.75,Vhembe,89.95585158,647.0,64.99815,65.0
29.491249897199996,-23.85291636943,6436.0,64135.375,Capricorn,84.429308124,1002.0,65.111176,65.1
30.066249894899997,-28.069583019230002,6418.0,68313.99,Amajuba,92.774776248,464.0,65.22388,65.2
29.299583231299998,-25.76958302843,6310.0,74671.46,Nkangala,86.47099272,854.0,65.33469,65.3
28.532916567699996,-31.51958300543,6302.0,59277.137,O.R.Tambo,85.58057585700001,909.0,65.44535,65.4
29.299583231299998,-31.51958300543,6289.0,48533.688,O.R.Tambo,85.58057585700001,907.0,65.555786,65.6
19.141249938599998,-33.24458299853,6282.0,81099.7,Cape Winelands,92.786964732,453.0,65.66611,65.7
18.182916609099998,-34.01124966213,6241.0,72208.586,City of Cape Town,94.711758939,330.0,65.775696,65.8
30.8329165585,-29.21958301463,6226.0,54332.688,Umzinyathi,94.613038821,335.0,65.885025,65.9
29.299583231299998,-30.36958301003,6199.0,61888.375,Alfred Nzo,94.368393126,349.0,65.99388,66.0
32.1745832198,-26.91958302383,6148.0,47413.527,Umkhanyakude,92.176661808,481.0,66.101845,66.1
31.4079165562,-28.261249685129997,6136.0,48482.883,Zululand,92.734361181,446.0,66.209595,66.2
